community	medium	receiver	donor	compound	scs	mus	mps	smetana
all	minimal	Pseudomonas_GM17_pacbio_v2	Rhizobium_CF142_pacbio_v2	M_arg__L_e	0.5	0.21	1	0.105
all	minimal	Pseudomonas_GM17_pacbio_v2	Rhizobium_CF142_pacbio_v2	M_citr__L_e	0.5	0.85	1	0.425
all	minimal	Pseudomonas_GM17_pacbio_v2	Rhizobium_CF142_pacbio_v2	M_cys__L_e	0.5	0.32	1	0.16
all	minimal	Pseudomonas_GM17_pacbio_v2	Rhizobium_CF142_pacbio_v2	M_dha_e	0.5	0.22	1	0.11
all	minimal	Pseudomonas_GM17_pacbio_v2	Rhizobium_CF142_pacbio_v2	M_f6p_e	0.5	0.18	1	0.09
all	minimal	Pseudomonas_GM17_pacbio_v2	Rhizobium_CF142_pacbio_v2	M_g6p_B_e	0.5	0.15	1	0.075
all	minimal	Pseudomonas_GM17_pacbio_v2	Rhizobium_CF142_pacbio_v2	M_h2s_e	0.5	0.38	1	0.19
all	minimal	Pseudomonas_GM17_pacbio_v2	Rhizobium_CF142_pacbio_v2	M_orn__L_e	0.5	0.15	1	0.075
all	minimal	Pseudomonas_GM17_pacbio_v2	Rhizobium_CF142_pacbio_v2	M_phe__L_e	0.5	0.67	1	0.335
all	minimal	Pseudomonas_GM17_pacbio_v2	Rhizobium_CF142_pacbio_v2	M_rnam_e	0.5	0.41	1	0.205
all	minimal	Pseudomonas_GM17_pacbio_v2	Rhizobium_CF142_pacbio_v2	M_udcpp_e	0.5	0.33	1	0.165
all	minimal	Pseudomonas_GM17_pacbio_v2	Sphingobium_AP49_pacbio_v2	M_arg__L_e	1.0	0.21	1	0.21
all	minimal	Pseudomonas_GM17_pacbio_v2	Sphingobium_AP49_pacbio_v2	M_citr__L_e	1.0	0.85	1	0.85
all	minimal	Pseudomonas_GM17_pacbio_v2	Sphingobium_AP49_pacbio_v2	M_coa_e	1.0	0.46	1	0.46
all	minimal	Pseudomonas_GM17_pacbio_v2	Sphingobium_AP49_pacbio_v2	M_cys__L_e	1.0	0.32	1	0.32
all	minimal	Pseudomonas_GM17_pacbio_v2	Sphingobium_AP49_pacbio_v2	M_dha_e	1.0	0.22	1	0.22
all	minimal	Pseudomonas_GM17_pacbio_v2	Sphingobium_AP49_pacbio_v2	M_dhap_e	1.0	0.25	1	0.25
all	minimal	Pseudomonas_GM17_pacbio_v2	Sphingobium_AP49_pacbio_v2	M_f6p_e	1.0	0.18	1	0.18
all	minimal	Pseudomonas_GM17_pacbio_v2	Sphingobium_AP49_pacbio_v2	M_g6p_B_e	1.0	0.15	1	0.15
all	minimal	Pseudomonas_GM17_pacbio_v2	Sphingobium_AP49_pacbio_v2	M_h2s_e	1.0	0.38	1	0.38
all	minimal	Pseudomonas_GM17_pacbio_v2	Sphingobium_AP49_pacbio_v2	M_orn__L_e	1.0	0.15	1	0.15
all	minimal	Pseudomonas_GM17_pacbio_v2	Sphingobium_AP49_pacbio_v2	M_phe__L_e	1.0	0.67	1	0.67
all	minimal	Pseudomonas_GM17_pacbio_v2	Sphingobium_AP49_pacbio_v2	M_rnam_e	1.0	0.41	1	0.41
all	minimal	Pseudomonas_GM17_pacbio_v2	Sphingobium_AP49_pacbio_v2	M_tyr__L_e	1.0	1.0	1	1.0
all	minimal	Pseudomonas_GM17_pacbio_v2	Sphingobium_AP49_pacbio_v2	M_udcpp_e	1.0	0.33	1	0.33
all	minimal	Pseudomonas_GM17_pacbio_v2	Variovorax_CF313_pacbio_v2	M_2obut_e	1.0	1.0	1	1.0
all	minimal	Pseudomonas_GM17_pacbio_v2	Variovorax_CF313_pacbio_v2	M_arg__L_e	1.0	0.21	1	0.21
all	minimal	Pseudomonas_GM17_pacbio_v2	Variovorax_CF313_pacbio_v2	M_citr__L_e	1.0	0.85	1	0.85
all	minimal	Pseudomonas_GM17_pacbio_v2	Variovorax_CF313_pacbio_v2	M_coa_e	1.0	0.46	1	0.46
all	minimal	Pseudomonas_GM17_pacbio_v2	Variovorax_CF313_pacbio_v2	M_cys__L_e	1.0	0.32	1	0.32
all	minimal	Pseudomonas_GM17_pacbio_v2	Variovorax_CF313_pacbio_v2	M_dha_e	1.0	0.22	1	0.22
all	minimal	Pseudomonas_GM17_pacbio_v2	Variovorax_CF313_pacbio_v2	M_dhap_e	1.0	0.25	1	0.25
all	minimal	Pseudomonas_GM17_pacbio_v2	Variovorax_CF313_pacbio_v2	M_f6p_e	1.0	0.18	1	0.18
all	minimal	Pseudomonas_GM17_pacbio_v2	Variovorax_CF313_pacbio_v2	M_g6p_B_e	1.0	0.15	1	0.15
all	minimal	Pseudomonas_GM17_pacbio_v2	Variovorax_CF313_pacbio_v2	M_gln__L_e	1.0	1.0	1	1.0
all	minimal	Pseudomonas_GM17_pacbio_v2	Variovorax_CF313_pacbio_v2	M_h2s_e	1.0	0.38	1	0.38
all	minimal	Pseudomonas_GM17_pacbio_v2	Variovorax_CF313_pacbio_v2	M_leu__L_e	1.0	1.0	1	1.0
all	minimal	Pseudomonas_GM17_pacbio_v2	Variovorax_CF313_pacbio_v2	M_man1p_e	1.0	0.2	1	0.2
all	minimal	Pseudomonas_GM17_pacbio_v2	Variovorax_CF313_pacbio_v2	M_orn__L_e	1.0	0.15	1	0.15
all	minimal	Pseudomonas_GM17_pacbio_v2	Variovorax_CF313_pacbio_v2	M_phe__L_e	1.0	0.67	1	0.67
all	minimal	Pseudomonas_GM17_pacbio_v2	Variovorax_CF313_pacbio_v2	M_rnam_e	1.0	0.41	1	0.41
all	minimal	Pseudomonas_GM17_pacbio_v2	Variovorax_CF313_pacbio_v2	M_s_e	1.0	0.3	1	0.3
all	minimal	Pseudomonas_GM17_pacbio_v2	Variovorax_CF313_pacbio_v2	M_udcpp_e	1.0	0.33	1	0.33
all	minimal	Rhizobium_CF142_pacbio_v2	Pseudomonas_GM17_pacbio_v2	M_acgam1p_e	0.5	0.07	1	0.035
all	minimal	Rhizobium_CF142_pacbio_v2	Pseudomonas_GM17_pacbio_v2	M_arg__L_e	0.5	0.04	1	0.02
all	minimal	Rhizobium_CF142_pacbio_v2	Pseudomonas_GM17_pacbio_v2	M_coa_e	0.5	1.0	1	0.5
all	minimal	Rhizobium_CF142_pacbio_v2	Pseudomonas_GM17_pacbio_v2	M_cys__L_e	0.5	1.0	1	0.5
all	minimal	Rhizobium_CF142_pacbio_v2	Pseudomonas_GM17_pacbio_v2	M_gua_e	0.5	1.0	1	0.5
all	minimal	Rhizobium_CF142_pacbio_v2	Pseudomonas_GM17_pacbio_v2	M_phe__L_e	0.5	0.91	1	0.455
all	minimal	Rhizobium_CF142_pacbio_v2	Pseudomonas_GM17_pacbio_v2	M_rnam_e	0.5	0.31	1	0.155
all	minimal	Rhizobium_CF142_pacbio_v2	Pseudomonas_GM17_pacbio_v2	M_udcpp_e	0.5	0.35	1	0.175
all	minimal	Rhizobium_CF142_pacbio_v2	Sphingobium_AP49_pacbio_v2	M_acgam1p_e	1.0	0.07	1	0.07
all	minimal	Rhizobium_CF142_pacbio_v2	Sphingobium_AP49_pacbio_v2	M_arg__L_e	1.0	0.04	1	0.04
all	minimal	Rhizobium_CF142_pacbio_v2	Sphingobium_AP49_pacbio_v2	M_coa_e	1.0	1.0	1	1.0
all	minimal	Rhizobium_CF142_pacbio_v2	Sphingobium_AP49_pacbio_v2	M_cys__L_e	1.0	1.0	1	1.0
all	minimal	Rhizobium_CF142_pacbio_v2	Sphingobium_AP49_pacbio_v2	M_gua_e	1.0	1.0	1	1.0
all	minimal	Rhizobium_CF142_pacbio_v2	Sphingobium_AP49_pacbio_v2	M_phe__L_e	1.0	0.91	1	0.91
all	minimal	Rhizobium_CF142_pacbio_v2	Sphingobium_AP49_pacbio_v2	M_rnam_e	1.0	0.31	1	0.31
all	minimal	Rhizobium_CF142_pacbio_v2	Sphingobium_AP49_pacbio_v2	M_tyr__L_e	1.0	1.0	1	1.0
all	minimal	Rhizobium_CF142_pacbio_v2	Sphingobium_AP49_pacbio_v2	M_udcpp_e	1.0	0.35	1	0.35
all	minimal	Rhizobium_CF142_pacbio_v2	Variovorax_CF313_pacbio_v2	M_2obut_e	1.0	1.0	1	1.0
all	minimal	Rhizobium_CF142_pacbio_v2	Variovorax_CF313_pacbio_v2	M_acgam1p_e	1.0	0.07	1	0.07
all	minimal	Rhizobium_CF142_pacbio_v2	Variovorax_CF313_pacbio_v2	M_arg__L_e	1.0	0.04	1	0.04
all	minimal	Rhizobium_CF142_pacbio_v2	Variovorax_CF313_pacbio_v2	M_coa_e	1.0	1.0	1	1.0
all	minimal	Rhizobium_CF142_pacbio_v2	Variovorax_CF313_pacbio_v2	M_cys__L_e	1.0	1.0	1	1.0
all	minimal	Rhizobium_CF142_pacbio_v2	Variovorax_CF313_pacbio_v2	M_gln__L_e	1.0	1.0	1	1.0
all	minimal	Rhizobium_CF142_pacbio_v2	Variovorax_CF313_pacbio_v2	M_gua_e	1.0	1.0	1	1.0
all	minimal	Rhizobium_CF142_pacbio_v2	Variovorax_CF313_pacbio_v2	M_leu__L_e	1.0	1.0	1	1.0
all	minimal	Rhizobium_CF142_pacbio_v2	Variovorax_CF313_pacbio_v2	M_phe__L_e	1.0	0.91	1	0.91
all	minimal	Rhizobium_CF142_pacbio_v2	Variovorax_CF313_pacbio_v2	M_rnam_e	1.0	0.31	1	0.31
all	minimal	Rhizobium_CF142_pacbio_v2	Variovorax_CF313_pacbio_v2	M_udcpp_e	1.0	0.35	1	0.35
all	minimal	Sphingobium_AP49_pacbio_v2	Variovorax_CF313_pacbio_v2	M_2obut_e	1.0	0.07	1	0.07
all	minimal	Sphingobium_AP49_pacbio_v2	Variovorax_CF313_pacbio_v2	M_acgam1p_e	1.0	0.19	1	0.19
all	minimal	Sphingobium_AP49_pacbio_v2	Variovorax_CF313_pacbio_v2	M_arg__L_e	1.0	0.2	1	0.2
all	minimal	Sphingobium_AP49_pacbio_v2	Variovorax_CF313_pacbio_v2	M_ch4s_e	1.0	0.95	1	0.95
all	minimal	Sphingobium_AP49_pacbio_v2	Variovorax_CF313_pacbio_v2	M_coa_e	1.0	1.0	1	1.0
all	minimal	Sphingobium_AP49_pacbio_v2	Variovorax_CF313_pacbio_v2	M_gln__L_e	1.0	1.0	1	1.0
all	minimal	Sphingobium_AP49_pacbio_v2	Variovorax_CF313_pacbio_v2	M_h2s_e	1.0	0.05	1	0.05
all	minimal	Sphingobium_AP49_pacbio_v2	Variovorax_CF313_pacbio_v2	M_leu__L_e	1.0	1.0	1	1.0
all	minimal	Sphingobium_AP49_pacbio_v2	Variovorax_CF313_pacbio_v2	M_phe__L_e	1.0	0.43	1	0.43
all	minimal	Sphingobium_AP49_pacbio_v2	Variovorax_CF313_pacbio_v2	M_rnam_e	1.0	0.8	1	0.8
all	minimal	Sphingobium_AP49_pacbio_v2	Variovorax_CF313_pacbio_v2	M_udcpp_e	1.0	0.18	1	0.18
all	minimal	Variovorax_CF313_pacbio_v2	Sphingobium_AP49_pacbio_v2	M_3gmp_e	1.0	0.36	1	0.36
all	minimal	Variovorax_CF313_pacbio_v2	Sphingobium_AP49_pacbio_v2	M_akg_e	1.0	0.36	1	0.36
all	minimal	Variovorax_CF313_pacbio_v2	Sphingobium_AP49_pacbio_v2	M_arg__L_e	1.0	0.22	1	0.22
all	minimal	Variovorax_CF313_pacbio_v2	Sphingobium_AP49_pacbio_v2	M_citr__L_e	1.0	0.21	1	0.21
all	minimal	Variovorax_CF313_pacbio_v2	Sphingobium_AP49_pacbio_v2	M_coa_e	1.0	0.96	1	0.96
all	minimal	Variovorax_CF313_pacbio_v2	Sphingobium_AP49_pacbio_v2	M_dha_e	1.0	0.2	1	0.2
all	minimal	Variovorax_CF313_pacbio_v2	Sphingobium_AP49_pacbio_v2	M_f6p_e	1.0	0.08	1	0.08
all	minimal	Variovorax_CF313_pacbio_v2	Sphingobium_AP49_pacbio_v2	M_g6p_B_e	1.0	0.2	1	0.2
all	minimal	Variovorax_CF313_pacbio_v2	Sphingobium_AP49_pacbio_v2	M_glu__L_e	1.0	0.21	1	0.21
all	minimal	Variovorax_CF313_pacbio_v2	Sphingobium_AP49_pacbio_v2	M_gua_e	1.0	0.64	1	0.64
all	minimal	Variovorax_CF313_pacbio_v2	Sphingobium_AP49_pacbio_v2	M_mnl1p_e	1.0	0.34	1	0.34
all	minimal	Variovorax_CF313_pacbio_v2	Sphingobium_AP49_pacbio_v2	M_orn__L_e	1.0	0.02	1	0.02
all	minimal	Variovorax_CF313_pacbio_v2	Sphingobium_AP49_pacbio_v2	M_orn_e	1.0	0.17	1	0.17
all	minimal	Variovorax_CF313_pacbio_v2	Sphingobium_AP49_pacbio_v2	M_phe__L_e	1.0	0.93	1	0.93
all	minimal	Variovorax_CF313_pacbio_v2	Sphingobium_AP49_pacbio_v2	M_rnam_e	1.0	0.58	1	0.58
all	minimal	Variovorax_CF313_pacbio_v2	Sphingobium_AP49_pacbio_v2	M_tyr__L_e	1.0	1.0	1	1.0
all	minimal	Variovorax_CF313_pacbio_v2	Sphingobium_AP49_pacbio_v2	M_udcpp_e	1.0	0.71	1	0.71
